"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
4.349600000E-2,-3.595432937E-1,-3.629689291E-2,-2.073772252E-1
5.343899992E-2,-3.353830874E-1,-5.127511173E-2,-2.167960256E-1
6.338199996E-2,-3.316909075E-1,-2.008549869E-2,-1.973453611E-1
7.332400000E-2,-3.336211741E-1,5.433380976E-2,-1.571739763E-1
8.326699992E-2,-3.345240057E-1,1.317668259E-1,-9.654550254E-2
9.320899996E-2,-3.280089200E-1,1.511149853E-1,-2.306908183E-2
1.031520000E-1,-3.065148294E-1,1.186973900E-1,4.882508144E-2
1.130949999E-1,-2.641827762E-1,5.477497727E-2,1.008407623E-1
1.230370000E-1,-2.105259448E-1,-4.711330310E-2,1.202988848E-1
1.329800000E-1,-1.588037163E-1,-1.618237495E-1,1.221139729E-1
1.429229999E-1,-1.392033845E-1,-2.549861670E-1,1.255632937E-1
1.528650000E-1,-1.635800749E-1,-3.387333453E-1,1.342608929E-1
1.628080000E-1,-2.212244570E-1,-3.918543756E-1,1.369461715E-1
1.727509999E-1,-2.891602218E-1,-4.277043343E-1,1.289426535E-1
1.826930000E-1,-3.556212783E-1,-4.539151490E-1,1.065758243E-1
1.926360000E-1,-4.234578013E-1,-4.632057548E-1,8.314673603E-2
2.025789999E-1,-4.982465506E-1,-4.495376050E-1,6.638693064E-2
2.125210000E-1,-5.678938627E-1,-4.297768772E-1,5.761582777E-2
2.224640000E-1,-6.167591214E-1,-4.225495756E-1,5.167245120E-2
2.324059999E-1,-6.345984340E-1,-4.133474529E-1,6.274274737E-2
2.423489999E-1,-6.117722392E-1,-4.068224430E-1,8.329036832E-2
2.522920000E-1,-5.695428848E-1,-4.168606699E-1,1.106368750E-1
2.622339999E-1,-5.099354982E-1,-4.285940230E-1,1.444907188E-1
2.721769999E-1,-4.322814047E-1,-4.332286716E-1,1.798860580E-1
2.821200000E-1,-3.453848362E-1,-4.290720224E-1,2.091896236E-1
2.920619999E-1,-2.535312176E-1,-4.334035516E-1,2.381647229E-1
3.020049999E-1,-1.863780320E-1,-4.462139010E-1,2.480495870E-1
3.119480000E-1,-1.443718374E-1,-4.784720540E-1,2.390316725E-1
3.218899999E-1,-1.333612800E-1,-5.120230913E-1,2.161923945E-1
3.318329999E-1,-1.412423551E-1,-5.341740847E-1,2.157236785E-1
3.417750000E-1,-1.591126919E-1,-5.411337018E-1,2.153814584E-1
3.517179999E-1,-1.785015315E-1,-5.632025599E-1,2.123018205E-1
3.616609999E-1,-1.841998994E-1,-5.722191930E-1,2.228127867E-1
3.716030000E-1,-1.807227135E-1,-5.819683671E-1,2.160866261E-1
3.815459999E-1,-1.720283031E-1,-6.022536755E-1,1.980663538E-1
3.914889999E-1,-1.668870300E-1,-6.336074471E-1,1.734883636E-1
4.014310000E-1,-1.650129706E-1,-6.755868196E-1,1.543985605E-1
4.113739999E-1,-1.645362675E-1,-7.179027796E-1,1.492854655E-1
4.213159999E-1,-1.682886630E-1,-7.650761604E-1,1.587420851E-1
4.312590000E-1,-1.781376302E-1,-7.942144275E-1,1.780680716E-1
4.412019999E-1,-1.990479827E-1,-7.738354206E-1,2.305872142E-1
4.511439999E-1,-2.344228178E-1,-7.864836454E-1,2.672629058E-1
4.610870000E-1,-2.772105038E-1,-9.136272669E-1,2.761850059E-1
4.710300000E-1,-3.036241233E-1,-1.089688420E0,2.666107714E-1
4.809719999E-1,-3.177878857E-1,-1.213851929E0,2.591981292E-1
