"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
0.000000000E0,-1.483564911E0,8.263116760E0,4.320315857E0
9.943000041E-3,-1.451531525E0,8.181536407E0,4.195774841E0
1.988499996E-2,-1.497186584E0,8.269703064E0,4.135150909E0
2.982800000E-2,-1.465153198E0,8.446635132E0,4.119882660E0
3.977000003E-2,-1.317111053E0,8.388855286E0,4.179907837E0
4.971299996E-2,-1.114582214E0,8.258177032E0,4.347409515E0
5.965499999E-2,-8.361611938E-1,8.153095551E0,4.505480804E0
6.959800003E-2,-6.601272583E-1,8.048313446E0,4.413272552E0
7.954000006E-2,-5.769003296E-1,7.992180176E0,4.358187103E0
8.948299999E-2,-5.798941040E-1,8.004754028E0,4.532125397E0
9.942500002E-2,-5.619314575E-1,7.908354492E0,4.674479370E0
1.093680001E-1,-6.173162842E-1,7.683522034E0,4.682263184E0
1.193100000E-1,-8.077203369E-1,7.730075226E0,4.767436066E0
1.292530000E-1,-1.050365753E0,8.040379944E0,4.977149963E0
1.391950001E-1,-1.273851013E0,8.288264465E0,5.032085724E0
1.491380000E-1,-1.330732727E0,8.396639099E0,5.038672028E0
1.590810000E-1,-1.257684631E0,8.388256531E0,5.028493195E0
1.690230001E-1,-1.190175018E0,8.351283417E0,5.093009033E0
1.789660000E-1,-1.112336884E0,8.335715790E0,5.163362732E0
1.889080000E-1,-1.082698517E0,8.347092133E0,5.280269623E0
1.988510001E-1,-1.089284821E0,8.334069214E0,5.441783752E0
2.087930000E-1,-9.779164124E-1,8.244106293E0,5.681734772E0
2.187360000E-1,-7.500901794E-1,8.031398621E0,5.753735046E0
2.286780000E-1,-6.900650024E-1,7.767946472E0,5.735023956E0
2.386210000E-1,-8.512797546E-1,7.687114563E0,5.829477539E0
2.485630000E-1,-1.036893768E0,7.796087952E0,6.060297546E0
2.585060000E-1,-1.079255676E0,7.953560486E0,6.225254517E0
2.684480000E-1,-1.122216339E0,8.074359283E0,6.327192535E0
2.783910000E-1,-1.073417816E0,8.122858429E0,6.508764954E0
2.883340000E-1,-1.092278595E0,8.114924927E0,6.739435272E0
2.982760000E-1,-1.105451202E0,8.074209595E0,6.926695862E0
3.082190000E-1,-1.084345093E0,8.018675079E0,6.943610687E0
3.181610000E-1,-9.678872681E-1,7.913593597E0,6.961573334E0
3.281040000E-1,-7.876620483E-1,7.762407990E0,6.934329987E0
3.380460000E-1,-5.402265930E-1,7.525001678E0,6.730453949E0
3.479890000E-1,-3.433859253E-1,7.335046692E0,6.492149506E0
3.579310001E-1,-1.745370483E-1,7.144343262E0,6.550677795E0
3.678740000E-1,-1.339714050E-1,6.962770844E0,6.637946320E0
3.778160000E-1,-2.580633545E-1,6.916217651E0,6.578669586E0
3.877590001E-1,-2.969824219E-1,6.859186249E0,6.768923950E0
3.977010000E-1,-4.159849548E-1,6.897207184E0,6.790030060E0
4.076440000E-1,-4.689747620E-1,7.093449097E0,6.602320404E0
4.175870001E-1,-4.227209473E-1,7.225025482E0,6.716682587E0
4.275290000E-1,-4.314028931E-1,7.254364471E0,6.919660492E0
4.374720000E-1,-5.556445312E-1,7.230863342E0,6.963070221E0
4.474140001E-1,-8.780740356E-1,7.250472565E0,7.216942291E0
4.573570000E-1,-1.310824127E0,7.179969177E0,7.536228333E0
4.672990000E-1,-1.508263550E0,7.115303650E0,8.097710724E0
4.772420001E-1,-1.262175293E0,7.243437195E0,8.847202148E0
4.871840000E-1,-1.101858673E0,7.047644348E0,8.132438507E0
4.971270000E-1,-7.262896729E-1,7.111112366E0,7.462132416E0
5.070690000E-1,-2.177970886E-1,7.175927582E0,6.429878998E0
5.170120000E-1,2.261796570E-1,6.988666992E0,5.602100372E0
5.269540000E-1,3.574566650E-1,6.690037994E0,5.413043518E0
5.368970000E-1,3.938310242E-1,6.248605957E0,5.576054535E0
5.468390000E-1,4.507127380E-1,5.676345978E0,6.340664520E0
5.567820000E-1,5.180726624E-1,4.966372375E0,7.032376099E0
5.667250000E-1,6.002517700E-1,4.252955933E0,7.290140076E0
5.766670000E-1,7.882608032E-1,3.786974945E0,7.364235992E0
5.866100000E-1,9.672885132E-1,3.601959686E0,7.658224640E0
5.965520000E-1,1.029708710E0,3.668122101E0,8.008196869E0
6.064950000E-1,8.922944641E-1,3.789519653E0,8.349187775E0
6.164370000E-1,5.969586182E-1,4.279151459E0,8.693771210E0
6.263800000E-1,4.186793518E-1,4.895569611E0,9.230405273E0
6.363220001E-1,3.164419556E-1,5.221891022E0,9.663454742E0
6.462650000E-1,5.733078003E-1,5.125641174E0,1.023751099E1
6.562070000E-1,8.631051636E-1,5.118007050E0,1.012524445E1
6.661500001E-1,5.442681885E-1,5.068160706E0,9.371112671E0
6.760919166E-1,8.946894836E-1,4.911436615E0,9.269324341E0
6.860349167E-1,1.358574829E0,4.878505096E0,9.398206329E0
6.959769167E-1,1.624571686E0,4.823569336E0,9.462123413E0
7.059199166E-1,1.741029510E0,4.695435791E0,9.448202362E0
7.158629167E-1,1.795965271E0,4.518204346E0,9.560468903E0
7.258049167E-1,1.764231262E0,4.326902161E0,9.862241364E0
7.357479166E-1,1.641037445E0,4.120631104E0,1.019978943E1
7.456899167E-1,1.517993317E0,3.962410126E0,1.010683273E1
7.556329167E-1,1.480870514E0,3.859573975E0,9.511670380E0
7.655749167E-1,1.596879272E0,3.723357239E0,8.902437286E0
7.755179167E-1,1.698667603E0,3.504811707E0,8.968150635E0
7.854599167E-1,1.729204102E0,3.518134003E0,8.882678375E0
7.954029167E-1,1.644480286E0,3.530707855E0,8.933123474E0
8.053449166E-1,1.439706116E0,3.472029877E0,8.930578766E0
8.152879167E-1,1.192420349E0,3.331771545E0,8.799750824E0
8.252299167E-1,9.458830261E-1,3.158282318E0,8.691825256E0
8.351729166E-1,7.226971436E-1,2.983745270E0,8.636440430E0
8.451149167E-1,5.993536377E-1,2.899470520E0,8.627159729E0
8.550579167E-1,5.315446472E-1,2.838247833E0,8.459358673E0
8.650009166E-1,3.643423462E-1,2.742297363E0,8.447233887E0
