"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
0.000000000E0,-2.307002563E0,8.252189484E0,4.321064301E0
9.942000033E-3,-2.248923340E0,8.304580536E0,4.200415192E0
1.988499996E-2,-2.134261780E0,8.386460266E0,4.339026947E0
2.982699999E-2,-1.954785004E0,8.303682404E0,4.625830536E0
3.977000003E-2,-1.862876129E0,8.239016876E0,5.113516388E0
4.971199995E-2,-1.795815582E0,8.257129211E0,5.623356171E0
5.965499999E-2,-1.714534607E0,8.254734192E0,6.088588715E0
6.959700002E-2,-1.638492737E0,8.150850220E0,6.629414062E0
7.953999995E-2,-1.674118652E0,7.844287720E0,6.949149170E0
8.948199998E-2,-1.761686554E0,7.729027405E0,7.197632446E0
9.942400001E-2,-1.926194458E0,7.776628418E0,7.303312683E0
1.093669999E-1,-2.071093140E0,7.938292236E0,7.445666656E0
1.193090000E-1,-2.295326843E0,8.085436249E0,7.568112030E0
1.292520000E-1,-2.500550079E0,8.200247498E0,7.525899811E0
1.391940000E-1,-2.694396973E0,8.234526215E0,7.312593384E0
1.491370000E-1,-2.828817444E0,8.245154114E0,7.118596802E0
1.590790000E-1,-2.843636627E0,8.363408203E0,7.082821198E0
1.690220000E-1,-2.856060791E0,8.374784546E0,7.158114624E0
1.789640000E-1,-2.931653595E0,8.413404236E0,7.387737122E0
1.889070000E-1,-2.932102661E0,8.575217743E0,7.574398956E0
1.988490000E-1,-3.035836945E0,8.758736115E0,7.737260284E0
2.087910000E-1,-3.071911926E0,8.965905304E0,7.774083710E0
2.187340000E-1,-2.938688965E0,9.041049042E0,7.773185577E0
2.286760000E-1,-2.803520050E0,8.971593475E0,7.950417023E0
2.386190000E-1,-2.665507050E0,8.847202148E0,8.306227112E0
2.485610000E-1,-2.578388214E0,8.612789612E0,8.683292999E0
2.585040000E-1,-2.557731171E0,8.418343964E0,8.985664215E0
2.684450001E-1,-2.481539612E0,8.438701630E0,9.230105896E0
2.783880000E-1,-2.382146301E0,8.402626648E0,9.457932129E0
2.883300000E-1,-2.326013031E0,8.181835785E0,9.636660461E0
2.982720000E-1,-2.374063110E0,7.920628967E0,9.596094818E0
3.082150000E-1,-2.602637787E0,7.683372345E0,9.488468628E0
3.181570000E-1,-2.907703400E0,7.390730896E0,9.372160492E0
3.281000000E-1,-3.140768738E0,6.998396759E0,9.311985626E0
3.380420000E-1,-3.318449249E0,6.647825775E0,9.170380096E0
3.479850000E-1,-3.434907074E0,6.376290436E0,8.826545105E0
3.579270000E-1,-3.414100342E0,6.139782257E0,8.404722290E0
3.678700000E-1,-3.314707031E0,5.839506683E0,8.149952087E0
3.778120000E-1,-3.210224304E0,5.572012939E0,7.938741302E0
3.877540000E-1,-2.988086243E0,5.407355347E0,7.569159851E0
3.976969999E-1,-2.684367828E0,5.234614563E0,7.323221283E0
4.076390000E-1,-2.522404633E0,5.021757202E0,7.328909454E0
4.175820000E-1,-2.432441711E0,4.942422180E0,7.526049500E0
4.275239999E-1,-2.352208557E0,4.920567627E0,7.791746979E0
4.374670000E-1,-2.317630463E0,4.922962646E0,7.714507599E0
4.474090000E-1,-2.253264313E0,4.991669769E0,7.480394440E0
4.573519999E-1,-2.143392792E0,5.059778137E0,7.341034241E0
4.672940000E-1,-1.903292084E0,5.019661560E0,7.171736298E0
4.772360000E-1,-1.631906433E0,4.861739960E0,7.217241669E0
4.871790000E-1,-1.398990784E0,4.611759796E0,7.150330811E0
4.971210000E-1,-1.254840546E0,4.306544495E0,6.875202942E0
5.070640000E-1,-1.213975525E0,4.086651764E0,6.558910675E0
5.170060000E-1,-1.391057281E0,4.035607910E0,6.280190277E0
5.269490000E-1,-1.629810791E0,4.199367371E0,6.031856689E0
5.368910000E-1,-1.807640991E0,4.367916870E0,5.814658356E0
5.468340000E-1,-1.908231812E0,4.476291504E0,5.819149017E0
5.567760000E-1,-1.892514496E0,4.458628235E0,6.288722534E0
5.667180000E-1,-1.766775970E0,4.337679749E0,6.559359741E0
5.766610000E-1,-1.593436432E0,4.165986786E0,6.386169891E0
5.866029999E-1,-1.427281952E0,3.966152344E0,6.083648987E0
5.965460000E-1,-1.272204437E0,3.794160004E0,5.796246643E0
6.064880000E-1,-1.176703033E0,3.661086731E0,5.595663757E0
6.164309999E-1,-1.218915253E0,3.609893188E0,5.656287689E0
6.263730000E-1,-1.378034363E0,3.739523621E0,6.023923187E0
6.363150000E-1,-1.639390869E0,3.993395691E0,6.445446625E0
6.462580001E-1,-1.894759827E0,4.274810486E0,6.753206635E0
6.562000000E-1,-2.000889130E0,4.521347809E0,6.874005432E0
6.661430000E-1,-1.926793213E0,4.685556335E0,6.664141846E0
6.760850000E-1,-1.732946320E0,4.689597931E0,6.412664795E0
6.860280000E-1,-1.437311096E0,4.571942596E0,6.247109070E0
6.959700000E-1,-1.179397430E0,4.389621735E0,6.218518524E0
7.059130000E-1,-1.076561279E0,4.212390289E0,6.429729309E0
7.158550000E-1,-1.159937897E0,4.144431610E0,6.787934418E0
7.257970000E-1,-1.352587280E0,4.227059784E0,7.351362762E0
7.357400000E-1,-1.539698181E0,4.432582397E0,8.039332123E0
7.456819999E-1,-1.654659119E0,4.704117737E0,8.508606262E0
7.556250000E-1,-1.565893707E0,5.036277008E0,8.545429688E0
7.655670000E-1,-1.294657745E0,5.417534180E0,8.636141052E0
