"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
4.971199995E-2,-1.109813929E0,-1.714838147E-1,-1.078944057E-1
5.965499999E-2,-1.110050321E0,-1.777598634E-3,-1.291730702E-1
6.959700002E-2,-1.066858292E0,1.622151136E-1,-1.295372844E-1
7.953999995E-2,-9.608693123E-1,2.602902949E-1,-1.185458899E-1
8.948199998E-2,-7.871120572E-1,3.052048087E-1,-1.007611752E-1
9.942400001E-2,-5.654858947E-1,3.059406579E-1,-7.810433209E-2
1.093669999E-1,-3.309134245E-1,2.485080063E-1,-3.776979819E-2
1.193090000E-1,-1.280351579E-1,1.531798989E-1,1.134848036E-2
1.292520000E-1,3.566736728E-2,7.123972476E-2,8.331708610E-2
1.391940000E-1,1.578558683E-1,1.467072032E-2,1.623658389E-1
1.491370000E-1,2.442743778E-1,-1.675404795E-2,2.315030992E-1
1.590790000E-1,2.940448523E-1,-3.549018502E-2,2.696323693E-1
1.690220000E-1,3.098799288E-1,-5.399647355E-2,2.550925016E-1
1.789640000E-1,2.885389626E-1,-1.008760929E-1,2.089092731E-1
1.889070000E-1,2.215178013E-1,-1.426783949E-1,1.519181281E-1
1.988490000E-1,1.148139909E-1,-1.737218052E-1,1.143606454E-1
2.087910000E-1,-4.115607962E-2,-1.395397186E-1,1.052833423E-1
2.187340000E-1,-2.353724241E-1,-5.087296665E-2,1.143543348E-1
2.286760000E-1,-4.229033291E-1,3.278567269E-2,1.331837922E-1
2.386190000E-1,-5.887396932E-1,6.943503767E-2,1.400675327E-1
2.485610000E-1,-7.199995518E-1,6.982256472E-2,1.122139543E-1
2.585040000E-1,-8.139223456E-1,9.600330144E-2,5.136818066E-2
2.684450001E-1,-8.686247468E-1,1.296949685E-1,-2.565845102E-2
2.783880000E-1,-9.099386334E-1,1.536269337E-1,-1.150346696E-1
2.883300000E-1,-9.576580524E-1,1.610461622E-1,-1.966883540E-1
2.982720000E-1,-9.905195832E-1,1.702681631E-1,-2.363998145E-1
3.082150000E-1,-1.001520872E0,1.560177803E-1,-2.213194668E-1
3.181570000E-1,-9.871140122E-1,1.003199071E-1,-1.501936316E-1
3.281000000E-1,-9.404239655E-1,-1.296095643E-2,-4.378776625E-2
3.380420000E-1,-8.625949621E-1,-1.545564383E-1,8.948080987E-2
3.479850000E-1,-7.604952455E-1,-2.728079855E-1,2.494544685E-1
3.579270000E-1,-6.506704688E-1,-3.909849524E-1,4.097562432E-1
3.678700000E-1,-5.584514737E-1,-5.178265572E-1,5.495933890E-1
3.778120000E-1,-4.712332189E-1,-5.842921138E-1,6.573813558E-1
3.877540000E-1,-3.949376345E-1,-5.575544238E-1,7.309540510E-1
3.976969999E-1,-3.400882483E-1,-4.950553775E-1,7.612469792E-1
4.076390000E-1,-3.220148385E-1,-4.523814321E-1,7.565730214E-1
4.175820000E-1,-3.220124543E-1,-4.738899171E-1,7.366824150E-1
4.275239999E-1,-3.315858543E-1,-5.033775568E-1,6.968445778E-1
4.374670000E-1,-3.388504386E-1,-4.586138427E-1,6.592396498E-1
4.474090000E-1,-3.605473638E-1,-3.574568927E-1,6.133388877E-1
4.573519999E-1,-3.892879188E-1,-1.957822293E-1,5.498120785E-1
4.672940000E-1,-4.401529729E-1,-5.461489037E-2,4.785240591E-1
4.772360000E-1,-5.152996778E-1,1.861857623E-2,4.073747694E-1
4.871790000E-1,-6.274102330E-1,5.186824501E-2,3.477489650E-1
4.971210000E-1,-7.693644762E-1,2.908809856E-2,3.360233307E-1
5.070640000E-1,-9.154330492E-1,-4.695365205E-2,3.591621220E-1
5.170060000E-1,-1.028656483E0,-1.423701942E-1,4.195985794E-1
5.269490000E-1,-1.104708314E0,-2.139644623E-1,4.894804358E-1
5.368910000E-1,-1.113007784E0,-2.142390311E-1,5.321562290E-1
5.468340000E-1,-1.061281919E0,-2.067565918E-1,5.263398290E-1
5.567760000E-1,-9.763889313E-1,-2.432304472E-1,4.739410877E-1
5.667180000E-1,-8.825427890E-1,-2.389173359E-1,3.947885931E-1
5.766610000E-1,-7.804954648E-1,-1.310385317E-1,2.984341085E-1
5.866029999E-1,-6.884880662E-1,5.433443189E-2,1.986063123E-1
5.965460000E-1,-6.177917719E-1,2.513702810E-1,1.135766432E-1
6.064880000E-1,-5.921944380E-1,4.148414433E-1,4.497233406E-2
6.164309999E-1,-6.285783052E-1,4.707521200E-1,1.577396691E-2
6.263730000E-1,-7.205270529E-1,3.902072906E-1,4.072759300E-2
6.363150000E-1,-8.545298576E-1,2.079024613E-1,1.115447804E-1
6.462580001E-1,-9.825183153E-1,-1.422660053E-2,2.204484791E-1
6.562000000E-1,-1.075797439E0,-1.828081608E-1,3.441363275E-1
6.661430000E-1,-1.117208719E0,-2.112834901E-1,4.544136226E-1
6.760850000E-1,-1.110090971E0,-1.252660602E-1,5.329263210E-1
6.860280000E-1,-1.050651789E0,2.818990871E-2,5.875852704E-1
6.959700000E-1,-9.690251350E-1,1.695262492E-1,6.186773777E-1
7.059130000E-1,-8.782366514E-1,2.468867600E-1,6.225730777E-1
7.158550000E-1,-8.094320297E-1,2.429721653E-1,6.101433039E-1
7.257970000E-1,-7.521062493E-1,1.588456929E-1,5.766632557E-1
7.357400000E-1,-7.149663568E-1,2.645622566E-2,5.055251718E-1
7.456819999E-1,-7.196217775E-1,-3.697494790E-2,4.109861255E-1
7.556250000E-1,-7.602270246E-1,2.515737433E-3,3.417953551E-1
7.655670000E-1,-8.393483162E-1,7.311296463E-2,3.262152374E-1
7.755099999E-1,-9.495019913E-1,8.469904959E-2,3.853286207E-1
7.854520000E-1,-1.076331735E0,1.869568974E-2,4.968341589E-1
7.953950000E-1,-1.193794489E0,-9.083586186E-2,6.227353811E-1
8.053369999E-1,-1.262249947E0,-1.921033859E-1,7.310664654E-1
8.152800000E-1,-1.259516239E0,-2.464355975E-1,8.146370053E-1
8.252220000E-1,-1.239999533E0,-1.287380457E-1,8.590778708E-1
8.351640000E-1,-1.206655860E0,-6.762543321E-2,8.247424960E-1
8.451070000E-1,-1.176302075E0,-1.315388083E-1,7.160519958E-1
