"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
0.000000000E0,3.581048489E0,6.592836380E0,6.025052071E0
2.002135000E-3,3.571466446E0,6.520972252E0,6.087334633E0
4.004792000E-3,3.600212336E0,6.501808167E0,6.130453587E0
6.008021000E-3,3.581048489E0,6.511390209E0,6.168780804E0
8.011406000E-3,3.585839272E0,6.544927120E0,6.202317715E0
1.001479200E-2,3.595421314E0,6.602418423E0,6.250227451E0
1.201885400E-2,3.633749008E0,6.621582031E0,6.264600277E0
1.402291700E-2,3.662494659E0,6.631164074E0,6.283763885E0
1.602765600E-2,3.700822353E0,6.602418423E0,6.298136711E0
1.803302100E-2,3.696031332E0,6.568881512E0,6.322091579E0
2.003895800E-2,3.748731852E0,6.506599426E0,6.384374142E0
2.204541700E-2,3.763104677E0,6.497017384E0,6.422701836E0
2.405229200E-2,3.791850567E0,6.444316864E0,6.437074661E0
2.605942700E-2,3.830178261E0,6.434734821E0,6.441865444E0
2.806671900E-2,3.825387239E0,6.434734821E0,6.441865444E0
3.007406200E-2,3.849342108E0,6.439525604E0,6.470611095E0
3.208140600E-2,3.882878780E0,6.453898907E0,6.470611095E0
3.408145800E-2,3.882878780E0,6.468271732E0,6.461029530E0
3.608151000E-2,3.902042627E0,6.482644558E0,6.437074661E0
3.808203100E-2,3.916415453E0,6.482644558E0,6.465820312E0
4.008312500E-2,3.935579300E0,6.473062515E0,6.489775181E0
4.208494800E-2,3.940370083E0,6.473062515E0,6.499357224E0
4.408755200E-2,3.921206236E0,6.429944038E0,6.499357224E0
4.609098900E-2,3.911624432E0,6.405989170E0,6.508938789E0
4.809526000E-2,3.902042627E0,6.372452259E0,6.518520832E0
5.010031200E-2,3.882878780E0,6.329333782E0,6.508938789E0
5.210609400E-2,3.834969044E0,6.300588131E0,6.518520832E0
5.411255200E-2,3.839760065E0,6.271842480E0,6.542475700E0
5.611958300E-2,3.801432371E0,6.252678394E0,6.552057743E0
5.812703100E-2,3.801432371E0,6.267051220E0,6.523311615E0
6.013479200E-2,3.811014414E0,6.267051220E0,6.518520832E0
6.214270800E-2,3.811014414E0,6.271842480E0,6.489775181E0
6.415062500E-2,3.787059546E0,6.281424046E0,6.480193138E0
6.615583300E-2,3.801432371E0,6.319751740E0,6.446656704E0
6.816031200E-2,3.811014414E0,6.338915825E0,6.446656704E0
7.016473900E-2,3.815805197E0,6.343706608E0,6.446656704E0
7.216916700E-2,3.811014414E0,6.334124565E0,6.451447487E0
7.417359400E-2,3.734359026E0,6.353288651E0,6.432283878E0
7.617802100E-2,3.696031332E0,6.386825085E0,6.432283878E0
7.818244800E-2,3.686449528E0,6.396407127E0,6.432283878E0
8.018687500E-2,3.715195179E0,6.372452259E0,6.432283878E0
8.219130200E-2,3.657703638E0,6.386825085E0,6.398746967E0
8.419572900E-2,3.643330812E0,6.420361996E0,6.389164925E0
8.620015600E-2,3.633749008E0,6.420361996E0,6.403537750E0
8.820458300E-2,3.638539791E0,6.415571213E0,6.393956184E0
9.020901000E-2,3.628957987E0,6.434734821E0,6.403537750E0
9.221343700E-2,3.619375944E0,6.463480473E0,6.417910576E0
9.421786400E-2,3.585839272E0,6.468271732E0,6.393956184E0
9.622229200E-2,3.585839272E0,6.492226601E0,6.403537750E0
9.822671900E-2,3.581048489E0,6.516180992E0,6.393956184E0
1.002311460E-1,3.571466446E0,6.501808167E0,6.398746967E0
1.022355730E-1,3.557093620E0,6.520972252E0,6.374792099E0
1.042400000E-1,3.552302599E0,6.511390209E0,6.393956184E0
1.062444270E-1,3.533138752E0,6.520972252E0,6.398746967E0
1.082488540E-1,3.542720795E0,6.516180992E0,6.398746967E0
1.102532810E-1,3.542720795E0,6.511390209E0,6.393956184E0
1.122577080E-1,3.528347969E0,6.530553818E0,6.393956184E0
1.142621350E-1,3.513974905E0,6.554508686E0,6.379583359E0
1.162665620E-1,3.504393101E0,6.559299946E0,6.370001316E0
1.182709890E-1,3.504393101E0,6.578463554E0,6.365210056E0
1.202754170E-1,3.509184122E0,6.607209206E0,6.355628490E0
1.222798440E-1,3.494811058E0,6.607209206E0,6.346046448E0
1.242842710E-1,3.509184122E0,6.640746117E0,6.336464405E0
1.262886980E-1,3.494811058E0,6.659909725E0,6.312509537E0
1.282931250E-1,3.494811058E0,6.688655376E0,6.317300797E0
1.302975520E-1,3.494811058E0,6.703028679E0,6.331673622E0
1.323019790E-1,3.504393101E0,6.693446636E0,6.317300797E0
1.343064060E-1,3.504393101E0,6.693446636E0,6.326882362E0
1.363108330E-1,3.504393101E0,6.693446636E0,6.360419273E0
1.383152600E-1,3.494811058E0,6.650328159E0,6.370001316E0
1.403196870E-1,3.499602079E0,6.621582031E0,6.413119793E0
1.423241140E-1,3.499602079E0,6.597627640E0,6.422701836E0
1.443285420E-1,3.509184122E0,6.607209206E0,6.422701836E0
1.463329690E-1,3.652912855E0,6.573672771E0,6.322091579E0
1.483373960E-1,3.633749008E0,6.516180992E0,6.302927971E0
1.503418230E-1,3.528347969E0,6.477853298E0,6.379583359E0
1.523462500E-1,3.494811058E0,6.444316864E0,6.461029530E0
1.543506770E-1,3.461274385E0,6.386825085E0,6.508938789E0
1.563551040E-1,3.432528734E0,6.377243519E0,6.508938789E0
1.583595310E-1,3.418155909E0,6.334124565E0,6.489775181E0
1.603639580E-1,3.403783083E0,6.324542999E0,6.484984398E0
1.623683850E-1,3.408573866E0,6.319751740E0,6.475402355E0
1.643728120E-1,3.413364887E0,6.319751740E0,6.451447487E0
1.663772390E-1,3.422946930E0,6.324542999E0,6.427492619E0
1.683816670E-1,3.422946930E0,6.324542999E0,6.413119793E0
1.703860940E-1,3.437319756E0,6.343706608E0,6.403537750E0
1.723905210E-1,3.432528734E0,6.353288651E0,6.417910576E0
1.743949480E-1,3.422946930E0,6.367661476E0,6.398746967E0
1.763993750E-1,3.413364887E0,6.382034302E0,6.370001316E0
1.784038020E-1,3.398992062E0,6.396407127E0,6.384374142E0
1.804082290E-1,3.389410019E0,6.420361996E0,6.379583359E0
1.824126560E-1,3.375037193E0,6.453898907E0,6.389164925E0
1.844170830E-1,3.375037193E0,6.477853298E0,6.384374142E0
1.864215100E-1,3.370246172E0,6.482644558E0,6.432283878E0
1.884259370E-1,3.360664368E0,6.506599426E0,6.432283878E0
1.904303640E-1,3.341500521E0,6.501808167E0,6.465820312E0
1.924347920E-1,3.341500521E0,6.516180992E0,6.465820312E0
1.944392190E-1,3.336709499E0,6.554508686E0,6.465820312E0
1.964436460E-1,3.327127695E0,6.544927120E0,6.489775181E0
1.984480730E-1,3.298382044E0,6.568881512E0,6.484984398E0
2.004525000E-1,3.298382044E0,6.592836380E0,6.499357224E0
2.024569270E-1,3.279218197E0,6.602418423E0,6.480193138E0
2.044613540E-1,3.288800001E0,6.626373291E0,6.484984398E0
2.064658330E-1,3.260054350E0,6.616791248E0,6.484984398E0
2.084703120E-1,3.274427176E0,6.640746117E0,6.484984398E0
2.104747920E-1,3.298382044E0,6.640746117E0,6.508938789E0
2.124792710E-1,3.303172827E0,6.635954857E0,6.489775181E0
2.144837500E-1,3.322336674E0,6.645536900E0,6.504148006E0
2.164882290E-1,3.322336674E0,6.640746117E0,6.494565964E0
2.184927080E-1,3.317545652E0,6.650328159E0,6.508938789E0
2.204971870E-1,3.331918716E0,6.640746117E0,6.518520832E0
2.225016670E-1,3.331918716E0,6.640746117E0,6.508938789E0
2.245061460E-1,3.336709499E0,6.631164074E0,6.494565964E0
2.265106250E-1,3.351082563E0,6.612000465E0,6.508938789E0
2.285151040E-1,3.322336674E0,6.621582031E0,6.499357224E0
2.305195830E-1,3.317545652E0,6.616791248E0,6.499357224E0
2.325240620E-1,3.293591022E0,6.602418423E0,6.504148006E0
2.345285420E-1,3.260054350E0,6.612000465E0,6.470611095E0
2.365330210E-1,3.197771788E0,6.669491768E0,6.446656704E0
2.385375000E-1,3.183398962E0,6.703028679E0,6.346046448E0
2.405419790E-1,3.307963848E0,6.602418423E0,6.298136711E0
2.425464580E-1,3.331918716E0,6.487435341E0,6.451447487E0
2.445509370E-1,3.317545652E0,6.382034302E0,6.599967003E0
2.465554170E-1,3.245681286E0,6.343706608E0,6.695786476E0
2.485598960E-1,3.226517677E0,6.358079433E0,6.724532127E0
2.505643750E-1,3.197771788E0,6.367661476E0,6.705368042E0
2.525688540E-1,3.173817158E0,6.396407127E0,6.657458782E0
2.545733330E-1,3.159444094E0,6.429944038E0,6.590385437E0
2.565778120E-1,3.145071268E0,6.473062515E0,6.508938789E0
2.585822920E-1,3.106743574E0,6.492226601E0,6.470611095E0
2.605867710E-1,3.106743574E0,6.501808167E0,6.480193138E0
2.625912500E-1,3.082788944E0,6.511390209E0,6.480193138E0
2.645957290E-1,3.073206902E0,6.525763035E0,6.494565964E0
2.666002080E-1,3.063625097E0,6.559299946E0,6.513730049E0
2.686046870E-1,3.058834076E0,6.549717903E0,6.518520832E0
2.706091670E-1,3.044461250E0,6.568881512E0,6.542475700E0
2.726136460E-1,3.030088425E0,6.597627640E0,6.532893658E0
2.746181250E-1,3.030088425E0,6.597627640E0,6.561639309E0
2.766226040E-1,3.006133556E0,6.631164074E0,6.547266483E0
2.786270830E-1,2.986969709E0,6.635954857E0,6.523311615E0
2.806315620E-1,2.967805862E0,6.626373291E0,6.508938789E0
2.826359890E-1,2.953433037E0,6.612000465E0,6.508938789E0
2.846404170E-1,2.953433037E0,6.626373291E0,6.513730049E0
2.866448440E-1,2.943850994E0,6.616791248E0,6.494565964E0
2.886492710E-1,2.939060211E0,6.616791248E0,6.504148006E0
2.906536980E-1,2.943850994E0,6.607209206E0,6.465820312E0
2.926581250E-1,2.939060211E0,6.621582031E0,6.465820312E0
2.946625520E-1,2.939060211E0,6.612000465E0,6.461029530E0
2.966669790E-1,2.943850994E0,6.616791248E0,6.446656704E0
2.986714060E-1,2.943850994E0,6.645536900E0,6.461029530E0
3.006758330E-1,2.953433037E0,6.664700985E0,6.480193138E0
3.026802600E-1,2.982178688E0,6.693446636E0,6.461029530E0
3.046846870E-1,3.025297403E0,6.717401505E0,6.446656704E0
3.066891140E-1,3.025297403E0,6.712610245E0,6.484984398E0
3.086935420E-1,3.030088425E0,6.707819462E0,6.518520832E0
3.106979690E-1,3.020506382E0,6.712610245E0,6.528102875E0
3.127023960E-1,3.025297403E0,6.712610245E0,6.523311615E0
3.147068230E-1,3.025297403E0,6.693446636E0,6.518520832E0
3.167112500E-1,3.010924578E0,6.707819462E0,6.532893658E0
3.187156770E-1,3.001342535E0,6.717401505E0,6.532893658E0
3.207201040E-1,3.001342535E0,6.707819462E0,6.571221352E0
3.227245310E-1,2.958224058E0,6.726983070E0,6.576012135E0
3.247289580E-1,2.876777649E0,6.822802544E0,6.580803394E0
3.267333850E-1,2.646811724E0,7.335434914E0,6.302927971E0
3.287378120E-1,2.939060211E0,7.043186665E0,6.264600277E0
3.307422390E-1,3.101952791E0,6.712610245E0,6.710159302E0
3.327466670E-1,3.068415880E0,6.520972252E0,6.873051643E0
3.347510940E-1,2.986969709E0,6.453898907E0,6.911379337E0
3.367555210E-1,2.905523539E0,6.473062515E0,6.944916248E0
3.387599480E-1,2.862404823E0,6.473062515E0,6.920961380E0
3.407643750E-1,2.804913282E0,6.492226601E0,6.844305992E0
3.427688020E-1,2.776167631E0,6.516180992E0,6.801187515E0
3.447732290E-1,2.790540457E0,6.530553818E0,6.801187515E0
3.467776560E-1,2.828868151E0,6.506599426E0,6.767650604E0
3.487820830E-1,2.819286108E0,6.482644558E0,6.777232647E0
3.507865100E-1,2.833659172E0,6.458689690E0,6.786814690E0
3.527909370E-1,2.862404823E0,6.425152779E0,6.805978298E0
3.547953640E-1,2.867195845E0,6.410779953E0,6.858678818E0
3.567997920E-1,2.881568670E0,6.405989170E0,6.858678818E0
3.588042190E-1,2.881568670E0,6.401198387E0,6.844305992E0
3.608086460E-1,2.867195845E0,6.420361996E0,6.839515209E0
3.628130730E-1,2.895941496E0,6.444316864E0,6.834723949E0
3.648175000E-1,2.881568670E0,6.468271732E0,6.825141907E0
3.668219270E-1,2.871986866E0,6.477853298E0,6.786814690E0
3.688263540E-1,2.871986866E0,6.473062515E0,6.762859821E0
3.708307810E-1,2.871986866E0,6.453898907E0,6.724532127E0
3.728352080E-1,2.848031998E0,6.458689690E0,6.714950085E0
3.748396350E-1,2.800122499E0,6.425152779E0,6.695786476E0
3.768440620E-1,2.776167631E0,6.429944038E0,6.652667522E0
3.788484890E-1,2.737839937E0,6.415571213E0,6.671831608E0
3.808529170E-1,2.723467112E0,6.420361996E0,6.647876740E0
3.828573440E-1,2.670766592E0,6.391616344E0,6.623921871E0
3.848617710E-1,2.637229919E0,6.429944038E0,6.619131088E0
3.868661980E-1,2.613275051E0,6.458689690E0,6.609549046E0
3.888706250E-1,2.579738379E0,6.463480473E0,6.585594177E0
3.908750520E-1,2.555783510E0,6.492226601E0,6.552057743E0
3.928794790E-1,2.541410685E0,6.477853298E0,6.532893658E0
3.948839060E-1,2.517455816E0,6.468271732E0,6.523311615E0
3.968883330E-1,2.488710165E0,6.453898907E0,6.494565964E0
3.988927600E-1,2.474337339E0,6.482644558E0,6.513730049E0
4.008971870E-1,2.455173492E0,6.482644558E0,6.508938789E0
4.029016140E-1,2.455173492E0,6.501808167E0,6.508938789E0
4.049060420E-1,2.431218624E0,6.520972252E0,6.508938789E0
4.069104690E-1,2.421636820E0,6.559299946E0,6.489775181E0
4.089148960E-1,2.436009645E0,6.573672771E0,6.461029530E0
4.109193230E-1,2.182088852E0,7.139005661E0,6.288555145E0
4.129237500E-1,2.426427841E0,6.980904102E0,6.154407978E0
4.149281770E-1,2.613275051E0,6.530553818E0,6.633503914E0
4.169326040E-1,2.637229919E0,6.286215305E0,6.925752163E0
4.189370310E-1,2.603693247E0,6.214350700E0,6.988034725E0
4.209415100E-1,2.517455816E0,6.223932743E0,6.940124989E0
4.229459890E-1,2.474337339E0,6.281424046E0,6.935334206E0
4.249504690E-1,2.522246838E0,6.257469654E0,6.920961380E0
4.269549480E-1,2.546201706E0,6.267051220E0,6.916170120E0
4.289594270E-1,2.574947357E0,6.286215305E0,6.887424469E0
4.309639060E-1,2.613275051E0,6.295797348E0,6.873051643E0
4.329683850E-1,2.637229919E0,6.310170174E0,6.868260860E0
4.349728640E-1,2.642020702E0,6.324542999E0,6.863469601E0
4.369773440E-1,2.665975571E0,6.334124565E0,6.858678818E0
4.389818230E-1,2.661184549E0,6.334124565E0,6.844305992E0
