"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
8.222317700E-2,1.224054396E-2,5.003409833E-2,1.100966483E-1
8.422760400E-2,6.914226338E-3,4.364252090E-2,1.143577024E-1
8.623203100E-2,1.117528044E-2,3.831619769E-2,1.090313867E-1
8.823645900E-2,5.848962814E-3,3.405514359E-2,1.111619100E-1
9.024093800E-2,3.718435764E-3,2.766356617E-2,1.037050635E-1
9.224541700E-2,3.718435764E-3,2.340251207E-2,9.624822438E-2
9.424989600E-2,-1.607881859E-3,1.274987403E-2,9.837874770E-2
9.625437500E-2,-2.673145384E-3,1.274987403E-2,9.624822438E-2
9.825885400E-2,-2.673145384E-3,3.162502311E-3,9.305243194E-2
1.002633860E-1,-5.868935958E-3,-2.163815312E-3,8.985663950E-2
1.022679170E-1,-9.064726532E-3,-1.068592351E-2,9.198717028E-2
1.042724480E-1,-1.012999006E-2,-1.388171408E-2,9.198717028E-2
1.062769790E-1,-1.119525358E-2,-1.601224020E-2,8.879137784E-2
1.082815110E-1,-9.064726532E-3,-2.559961379E-2,8.879137784E-2
1.102860420E-1,-1.226051711E-2,-2.773014084E-2,8.666084707E-2
1.122905730E-1,-1.226051711E-2,-3.305645660E-2,8.985663950E-2
1.142951040E-1,-1.332578063E-2,-3.625224903E-2,8.879137784E-2
1.162996360E-1,-1.545630768E-2,-4.264383018E-2,8.559558541E-2
1.183041670E-1,-1.332578063E-2,-4.157856479E-2,8.772611618E-2
1.203086980E-1,-1.545630768E-2,-4.690488428E-2,8.666084707E-2
1.223132290E-1,-1.439104415E-2,-5.116593838E-2,8.666084707E-2
1.243177610E-1,-1.226051711E-2,-5.116593838E-2,8.559558541E-2
1.263222920E-1,-1.865209825E-2,-5.862277746E-2,8.879137784E-2
1.283268230E-1,-1.758683473E-2,-5.755751580E-2,9.305243194E-2
1.303313540E-1,-1.439104415E-2,-5.649225414E-2,9.624822438E-2
1.323358860E-1,-1.758683473E-2,-5.862277746E-2,8.985663950E-2
1.343404170E-1,-2.078262530E-2,-6.075330824E-2,9.944401681E-2
1.363449480E-1,-1.971736178E-2,-5.649225414E-2,9.518295527E-2
1.383494790E-1,-1.865209825E-2,-5.755751580E-2,9.944401681E-2
1.403540110E-1,-1.652157120E-2,-5.649225414E-2,9.624822438E-2
1.423585420E-1,-1.971736178E-2,-5.862277746E-2,9.731348604E-2
1.443630730E-1,-1.545630768E-2,-5.649225414E-2,9.837874770E-2
1.463676040E-1,-1.652157120E-2,-5.649225414E-2,9.837874770E-2
1.483721360E-1,-1.971736178E-2,-5.223120004E-2,1.005092785E-1
1.503766670E-1,-2.184788883E-2,-5.542699248E-2,1.037050635E-1
1.523811980E-1,-2.184788883E-2,-5.542699248E-2,1.026398018E-1
1.543857290E-1,-2.291315235E-2,-5.329646170E-2,1.015745401E-1
1.563902610E-1,-2.078262530E-2,-5.542699248E-2,9.518295527E-2
1.583947920E-1,-1.971736178E-2,-5.223120004E-2,9.944401681E-2
1.603992710E-1,-2.078262530E-2,-5.010067299E-2,1.005092785E-1
1.624037500E-1,-2.291315235E-2,-5.010067299E-2,9.731348604E-2
1.644082290E-1,-2.291315235E-2,-5.010067299E-2,9.411769360E-2
1.664127090E-1,-1.971736178E-2,-4.477435350E-2,9.411769360E-2
1.684171880E-1,-1.865209825E-2,-4.690488428E-2,9.731348604E-2
1.704216670E-1,-2.184788883E-2,-4.583961889E-2,9.518295527E-2
1.724261460E-1,-1.758683473E-2,-4.264383018E-2,9.518295527E-2
1.744306250E-1,-1.545630768E-2,-4.051330313E-2,9.198717028E-2
1.764351040E-1,-1.865209825E-2,-4.370909184E-2,9.305243194E-2
1.784395840E-1,-1.652157120E-2,-3.518698364E-2,8.879137784E-2
