"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
0.000000000E0,7.409591675E-2,9.744885406E0,4.207001495E0
9.938000003E-3,2.951861572E-1,9.733509064E0,4.265679474E0
1.987700001E-2,2.504292297E-1,9.779912567E0,4.598886566E0
2.981500002E-2,1.017883301E-2,9.760902100E0,4.905748444E0
3.975300002E-2,-3.138972473E-1,9.514514465E0,5.181774445E0
4.969200003E-2,-5.652246094E-1,9.164991302E0,5.448070679E0
5.963000003E-2,-7.466473389E-1,8.945248260E0,5.674400024E0
6.956800004E-2,-7.593708801E-1,8.873247986E0,5.737718353E0
7.950600004E-2,-5.905220032E-1,8.841364288E0,5.621260529E0
8.944500005E-2,-3.353027344E-1,8.740773468E0,5.451064453E0
9.938300005E-2,-1.323248291E-1,8.619226227E0,5.279970245E0
1.093210001E-1,2.679428101E-2,8.524622955E0,5.173541565E0
1.192600000E-1,1.715432739E-1,8.455017700E0,5.077740784E0
1.291980000E-1,3.086581421E-1,8.444389801E0,4.915777588E0
1.391360000E-1,4.417314148E-1,8.481961670E0,4.725523224E0
1.490750000E-1,5.767506409E-1,8.529562683E0,4.537364502E0
1.590130000E-1,6.845265198E-1,8.649613037E0,4.462071075E0
1.689510000E-1,7.574249268E-1,8.916208649E0,4.390519867E0
1.788890000E-1,7.932005310E-1,9.190438385E0,4.279899902E0
1.888280000E-1,8.011340332E-1,9.369915161E0,4.144880676E0
1.987660000E-1,7.810757446E-1,9.447603607E0,4.006119232E0
2.087040000E-1,7.316784668E-1,9.408085785E0,3.959566040E0
2.186430000E-1,6.979985046E-1,9.308991852E0,4.000580750E0
2.285810000E-1,6.747967529E-1,9.198072510E0,4.037553864E0
2.385190000E-1,6.677613831E-1,9.153914337E0,4.020788727E0
2.484580000E-1,6.893165588E-1,9.224717102E0,3.970493317E0
2.583960000E-1,6.780899048E-1,9.344917145E0,3.897744598E0
2.683340000E-1,6.777905273E-1,9.451794891E0,3.769012299E0
2.782730000E-1,6.768923950E-1,9.441765747E0,3.607049103E0
2.882110000E-1,6.008505249E-1,9.221723328E0,3.512595520E0
2.981490000E-1,4.809498596E-1,8.877588959E0,3.502865753E0
3.080870000E-1,3.656895447E-1,8.540639648E0,3.484753418E0
3.180260001E-1,2.953358459E-1,8.289162598E0,3.434757385E0
3.279640001E-1,2.528242493E-1,8.133186951E0,3.379671936E0
3.379020000E-1,2.282752991E-1,8.065827026E0,3.301384735E0
3.478410000E-1,2.490820312E-1,8.082292786E0,3.208128662E0
3.577790000E-1,3.297642517E-1,8.226293335E0,3.119213562E0
3.677170000E-1,4.526586914E-1,8.474926300E0,3.025807800E0
3.776560000E-1,5.592370605E-1,8.785081329E0,2.961142273E0
3.875940000E-1,5.944139099E-1,9.095685425E0,2.949316864E0
3.975320000E-1,5.414241028E-1,9.356592865E0,3.001558228E0
4.074710000E-1,4.267625427E-1,9.544901276E0,3.100203094E0
4.174090000E-1,3.555107117E-1,9.701475677E0,3.195255432E0
4.273470000E-1,3.121009827E-1,9.823621674E0,3.241060181E0
4.372850001E-1,3.100053406E-1,9.875264282E0,3.254083099E0
4.472240000E-1,3.162922668E-1,9.927655334E0,3.258424072E0
4.571620000E-1,3.537144470E-1,9.977950745E0,3.253783722E0
4.671000000E-1,3.987707520E-1,1.000968475E1,3.232677612E0
4.770390000E-1,4.324507141E-1,1.001746857E1,3.254083099E0
4.869770000E-1,3.896397400E-1,9.968220978E0,3.313509521E0
4.969150000E-1,2.787203979E-1,9.890682220E0,3.394341431E0
5.068539584E-1,1.444496155E-1,9.799072723E0,3.481909332E0
5.167919584E-1,6.017486572E-2,9.722432098E0,3.573818207E0
5.267299584E-1,6.286926270E-2,9.689949646E0,3.610491943E0
5.366689584E-1,1.011895752E-1,9.622889099E0,3.651955719E0
5.466069584E-1,1.721420288E-1,9.536069641E0,3.701053619E0
5.565449584E-1,2.863545227E-1,9.439670105E0,3.696413269E0
5.664829584E-1,3.950285339E-1,9.283395081E0,3.651806030E0
5.764219583E-1,5.215155029E-1,9.149423676E0,3.595223694E0
5.863599583E-1,7.337741089E-1,9.141190796E0,3.565735016E0
5.962979583E-1,9.777667236E-1,9.078471222E0,3.719315643E0
6.062369584E-1,1.026565247E0,8.933123474E0,3.841611328E0
6.161749584E-1,7.508386230E-1,8.811276855E0,3.815116425E0
6.261129584E-1,4.552033997E-1,8.883127441E0,3.689527588E0
6.360519584E-1,6.084846497E-1,8.712033234E0,3.954626312E0
6.459899584E-1,8.619076538E-1,8.402776337E0,4.436324615E0
6.559279584E-1,9.578581238E-1,8.104746094E0,4.606520691E0
6.658659584E-1,7.881111145E-1,7.843389587E0,4.452790375E0
6.758049584E-1,5.900729370E-1,7.540419617E0,4.437522125E0
6.857429583E-1,4.360432434E-1,7.303612061E0,4.603377228E0
6.956809583E-1,3.269201660E-1,7.257507935E0,4.750970306E0
7.056199583E-1,2.321672058E-1,7.415130157E0,4.831951904E0
7.155579583E-1,1.228944397E-1,7.653434601E0,4.826114044E0
7.254959584E-1,-3.143463135E-3,7.807613983E0,4.780009918E0
7.354349584E-1,-1.182540894E-1,7.884853363E0,4.761448517E0
7.453729584E-1,-2.098635864E-1,7.956105194E0,4.752018127E0
7.553109584E-1,-2.588117981E-1,8.062084808E0,4.761298828E0
7.652499584E-1,-2.812651062E-1,8.289911041E0,4.795278168E0
7.751879584E-1,-2.830613708E-1,8.573870544E0,4.800966339E0
7.851259584E-1,-2.841091919E-1,8.841064911E0,4.812642059E0
7.950639584E-1,-2.881507874E-1,9.055419159E0,4.853656769E0
8.050029583E-1,-2.945874023E-1,9.195677490E0,4.908293152E0
8.149409583E-1,-3.049159241E-1,9.248367920E0,4.982239380E0
8.248789583E-1,-3.040177917E-1,9.231602783E0,5.066663818E0
8.348179584E-1,-2.718347168E-1,9.156159668E0,5.200784912E0
8.447559584E-1,-2.068698120E-1,9.020092621E0,5.334007874E0
8.546939584E-1,-1.098715210E-1,8.860674133E0,5.457052002E0
8.646329584E-1,-2.320175171E-2,8.695717163E0,5.572911072E0
8.745709584E-1,1.661544800E-2,8.541238403E0,5.683231659E0
8.845089584E-1,6.227050781E-2,8.372389526E0,5.753285980E0
8.944479584E-1,1.440005493E-1,8.172405396E0,5.773344269E0
9.043859583E-1,2.447410583E-1,7.981252899E0,5.746400299E0
9.143239583E-1,3.478765869E-1,7.831564178E0,5.666616211E0
9.242619583E-1,4.331991577E-1,7.753276978E0,5.527854767E0
9.342009583E-1,5.137316895E-1,7.768545227E0,5.370980988E0
9.441389584E-1,5.863307190E-1,7.866741028E0,5.211263123E0
9.540769584E-1,6.460565186E-1,7.978857880E0,5.055437164E0
9.640159584E-1,6.837780762E-1,8.128546600E0,4.905748444E0
