"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
4.348399997E-2,-1.490281522E-1,2.430657297E-1,-2.167689800E-1
5.342399998E-2,-1.534076482E-1,2.570535839E-1,-2.299860269E-1
6.336299999E-2,-1.576718986E-1,2.597955763E-1,-2.313588858E-1
7.330300001E-2,-1.680158526E-1,2.558774650E-1,-2.235040367E-1
8.324199996E-2,-1.602306366E-1,2.505000234E-1,-2.191052884E-1
9.318199998E-2,-1.095672473E-1,2.439014018E-1,-2.175957859E-1
1.031210000E-1,-2.034523152E-2,2.531657219E-1,-2.222142369E-1
1.130610000E-1,8.784056455E-2,2.815625966E-1,-2.361310720E-1
1.230000000E-1,1.684025079E-1,3.113423288E-1,-2.513204217E-1
1.329400000E-1,2.194780111E-1,3.105821609E-1,-2.296063751E-1
1.428800000E-1,2.422333956E-1,2.646274269E-1,-1.649988890E-1
1.528190000E-1,2.252351046E-1,2.264747024E-1,-9.523810446E-2
1.627590000E-1,1.986860633E-1,1.821410656E-1,-4.632622376E-2
1.726980000E-1,1.794893891E-1,1.269799471E-1,-2.187677659E-2
1.826380000E-1,1.613197029E-1,9.213061631E-2,-1.429528929E-2
1.925770000E-1,1.559395194E-1,9.431321174E-2,-2.239206620E-2
2.025170000E-1,1.511735320E-1,1.017333120E-1,-3.151019663E-2
2.124560000E-1,1.434815526E-1,1.005928665E-1,-3.229837120E-2
2.223960000E-1,1.391075850E-1,9.642395377E-2,-3.565262258E-2
2.323350000E-1,1.322665066E-1,7.857451588E-2,-4.167912528E-2
2.422750000E-1,1.096064821E-1,5.594164133E-2,-5.921124294E-2
2.522150000E-1,8.211842924E-2,4.309955612E-2,-7.894115895E-2
2.621540000E-1,5.261459574E-2,6.015736610E-2,-1.057077944E-1
2.720940000E-1,1.939855330E-2,9.136010706E-2,-1.255897433E-1
2.820330000E-1,-1.490882039E-2,9.458865970E-2,-1.499536633E-1
2.919730000E-1,-4.781184345E-2,7.809209079E-2,-1.702090353E-1
3.019120000E-1,-8.888097852E-2,6.165293604E-2,-1.784238219E-1
3.118520000E-1,-1.310751736E-1,6.156665459E-2,-1.798435003E-1
3.217910000E-1,-1.667940170E-1,7.405980676E-2,-1.843125373E-1
3.317310000E-1,-1.833523512E-1,1.036983728E-1,-1.966570169E-1
3.416700000E-1,-1.696320176E-1,1.326067299E-1,-2.097781450E-1
3.516100000E-1,-1.461345255E-1,1.498527974E-1,-2.115343213E-1
3.615490000E-1,-1.148996353E-1,1.448545754E-1,-1.967284828E-1
3.714890000E-1,-7.444671541E-2,1.222413406E-1,-1.755049825E-1
3.814290000E-1,-3.180658072E-2,8.311337233E-2,-1.464498937E-1
3.913680000E-1,5.042983685E-3,3.749460727E-2,-1.048230454E-1
4.013080000E-1,1.960834302E-2,-1.563847996E-3,-5.847125873E-2
4.112470000E-1,2.979909629E-2,-3.089942783E-2,-1.196415909E-2
4.211870000E-1,5.308683962E-2,-5.607935041E-2,3.623905778E-2
4.311260000E-1,8.322433382E-2,-7.608842105E-2,8.512452245E-2
4.410660000E-1,1.336970925E-1,-7.294216007E-2,1.334307939E-1
4.510050000E-1,2.036916018E-1,-3.626050800E-2,1.904347092E-1
4.609450000E-1,2.908160985E-1,1.598964632E-2,2.465176880E-1
4.708840000E-1,3.916647434E-1,7.807640731E-2,3.024972975E-1
4.808240000E-1,4.790989757E-1,1.266929358E-1,3.487465680E-1
4.907640000E-1,5.282300115E-1,1.587232947E-1,3.844137788E-1
5.007030000E-1,5.388986468E-1,1.448389143E-1,4.022955596E-1
5.106430000E-1,5.264337659E-1,8.545906097E-2,4.238141179E-1
5.205820000E-1,4.992125928E-1,1.941986009E-2,4.448062181E-1
5.305220000E-1,4.718831480E-1,-1.366311219E-2,4.681444764E-1
5.404610000E-1,4.556421340E-1,-1.925335452E-2,5.024270415E-1
5.504010000E-1,4.580640495E-1,-5.217022728E-3,5.356059074E-1
5.603400000E-1,4.841811359E-1,1.096274704E-2,5.612359047E-1
5.702800000E-1,5.410499573E-1,9.242204018E-3,5.804198980E-1
5.802190000E-1,6.063631773E-1,-7.154080085E-3,5.975903273E-1
5.901590000E-1,6.423116326E-1,-2.289608587E-3,6.184608340E-1
6.000980000E-1,6.394186616E-1,3.653741628E-2,6.704436541E-1
6.100380000E-1,6.001394391E-1,7.817133516E-2,7.338874340E-1
6.199772500E-1,5.541461110E-1,1.109947935E-1,7.790788412E-1
6.299162500E-1,5.161094666E-1,1.193971187E-1,7.894598246E-1
6.398562500E-1,4.921652675E-1,1.100558192E-1,7.641616464E-1
